OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
282368245,43,10th & U St NW,31111,38.9172,-77.0259,YES,NO,,,NO,0,14,397753.87564422,138814.96095752,,DC
282368246,44,Georgia Ave and Fairmont St NW,31207,38.9249,-77.0222,YES,NO,,,NO,0,11,398074.95841142,139669.64140129,,DC
282368247,45,1st & N St  SE,31209,38.8743,-77.0057,YES,NO,,,NO,5,34,399505.38183805,134052.41738498,,DC
282368248,46,20th St & Florida Ave NW,31110,38.9154,-77.0446,YES,NO,,,NO,6,9,396132.05899493,138615.77216932,,DC
282368249,47,7th & T St NW,31109,38.9155,-77.0222,YES,NO,,,NO,1,13,398074.70465287,138626.16224103,,DC
282368250,48,Eads St & 22nd St S,31013,38.854381,-77.053412,YES,NO,,,NO,6,9,395363.87403378,131842.60323152,,
282368251,49,M St & New Jersey Ave SE,31208,38.8763,-77.0037,YES,NO,,,NO,11,5,399678.94106865,134274.42351994,,DC
282368252,51,Massachusetts Ave & Dupont Circle NW,31200,38.9101,-77.0444,YES,NO,,,NO,12,30,396149.11786763,138027.41994099,,DC
282368253,52,1st & M St NE,31603,38.9057,-77.0056,YES,NO,,,NO,4,11,399514.27317303,137538.06239613,,DC
282368254,54,17th & K St NW,31213,38.90276,-77.03863,YES,NO,,,NO,19,3,396649.21425572,137212.39264868,,DC
282368255,55,3rd & H St NW,31604,38.899408,-77.015289,YES,NO,,,NO,5,9,398673.76205224,136839.69580021,,DC
282368256,56,3rd & D St SE,31605,38.8851,-77.0023,YES,NO,,,NO,1,9,399800.44743845,135251.28674748,,DC
282368257,57,Potomac & Pennsylvania Ave SE,31606,38.8803,-76.9862,YES,NO,,,NO,0,14,401197.39591334,134718.53788821,,DC
282368258,58,13th & E St SE,31607,38.882915,-76.987907,YES,NO,,,NO,0,13,401049.24479176,135008.80190085,,DC
282368259,59,17th & Corcoran St NW,31214,38.9121,-77.0387,YES,NO,,,NO,1,17,396643.58195891,138249.21138577,,DC
282368260,60,Van Ness Metro / UDC,31300,38.944551,-77.063896,YES,NO,,,NO,11,3,394460.8760265,141852.77834368,,DC
282368261,61,Florida Ave & R St NW,31503,38.9126,-77.0135,YES,NO,,,NO,0,12,398829.1646746,138304.09064665,,DC
282368262,62,8th & Eye St SE / Barracks Row,31608,38.8792,-76.9953,YES,NO,,,NO,1,9,400407.81504123,134596.34949947,,DC
282368263,63,Ward Circle / American University,31301,38.938736,-77.087171,YES,NO,,,NO,4,10,392442.5577893,141208.93151752,,DC
282368264,64,Wisconsin Ave & Newark St NW,31302,38.934881,-77.072755,YES,NO,,,NO,10,9,393692.03675799,140779.89807813,,DC
282368265,65,14th St Heights / 14th & Crittenden St NW,31402,38.947774,-77.032818,YES,NO,,,NO,2,8,397155.14643993,142209.13309952,,DC
282368266,66,Anacostia Library,31804,38.865784,-76.9784,YES,NO,,,NO,7,4,401874.56617125,133107.28439427,,DC
282368267,67,Pennsylvania & Minnesota Ave SE,31805,38.873057,-76.971015,YES,NO,,,NO,9,2,402515.22051118,133914.81891889,,DC
